tablename,rls_enabled,policyname,roles,operation,condition,check_condition
admin_billing,true,Enable all operations for admin_billing,{public},ALL,true,true
admin_support_tickets,true,Enable all operations for admin_support_tickets,{public},ALL,true,true
admin_updates,true,Enable all operations for admin_updates,{public},ALL,true,true
ai_history,true,Allow anon delete access,{public},DELETE,true,null
ai_history,true,Allow anon insert access,{public},INSERT,null,true
ai_history,true,Allow anon read access,{public},SELECT,true,null
ai_history,true,Allow anon update access,{public},UPDATE,true,null
ai_history,true,Tenant Isolation Delete,{public},DELETE,"(((tenant_id = ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) AND (category = ( SELECT upper(tenants.tier) AS upper FROM tenants WHERE (tenants.id = ai_history.tenant_id))) AND (plan = ( SELECT upper(tenants.plan) AS upper FROM tenants WHERE (tenants.id = ai_history.tenant_id)))) OR (EXISTS ( SELECT 1 FROM user_tenant_mapping WHERE ((user_tenant_mapping.user_id = auth.uid()) AND (user_tenant_mapping.role = 'super_admin'::text)))))",null
ai_history,true,Tenant Isolation Insert,{public},INSERT,null,"((tenant_id = ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) OR (EXISTS ( SELECT 1 FROM user_tenant_mapping WHERE ((user_tenant_mapping.user_id = auth.uid()) AND (user_tenant_mapping.role = 'super_admin'::text)))))"
ai_history,true,Tenant Isolation Select,{public},SELECT,"(((tenant_id = ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) AND (category = ( SELECT upper(tenants.tier) AS upper FROM tenants WHERE (tenants.id = ai_history.tenant_id))) AND (plan = ( SELECT upper(tenants.plan) AS upper FROM tenants WHERE (tenants.id = ai_history.tenant_id)))) OR (EXISTS ( SELECT 1 FROM user_tenant_mapping WHERE ((user_tenant_mapping.user_id = auth.uid()) AND (user_tenant_mapping.role = 'super_admin'::text)))))",null
ai_history,true,Tenant Isolation Update,{public},UPDATE,"(((tenant_id = ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) AND (category = ( SELECT upper(tenants.tier) AS upper FROM tenants WHERE (tenants.id = ai_history.tenant_id))) AND (plan = ( SELECT upper(tenants.plan) AS upper FROM tenants WHERE (tenants.id = ai_history.tenant_id)))) OR (EXISTS ( SELECT 1 FROM user_tenant_mapping WHERE ((user_tenant_mapping.user_id = auth.uid()) AND (user_tenant_mapping.role = 'super_admin'::text)))))",null
app_settings,true,Allow full access app_settings,{public},ALL,true,true
area_problems,true,area_problems_tenant_isolation,{public},ALL,true,true
complaints,true,Tenant Isolation Delete,{public},DELETE,"((tenant_id IN ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
complaints,true,Tenant Isolation Insert,{public},INSERT,null,"((tenant_id IN ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) OR (auth.role() = 'anon'::text) OR (auth.role() = 'service_role'::text) OR (tenant_id IS NOT NULL))"
complaints,true,Tenant Isolation Select,{public},SELECT,"((tenant_id IN ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) OR (auth.role() = 'anon'::text) OR (auth.role() = 'service_role'::text) OR (tenant_id IS NULL))",null
complaints,true,Tenant Isolation Update,{public},UPDATE,"((tenant_id IN ( SELECT user_tenant_mapping.tenant_id FROM user_tenant_mapping WHERE (user_tenant_mapping.user_id = auth.uid()))) OR (auth.role() = 'service_role'::text))",null
conference_rooms,true,null,null,null,null,null
